cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
4,3,Информатика,М,20.0,Нет,Программирование,Windows,Да,Нет,Да,Не работаю,ChatGPT,176.0,Да,Интроверт,Вообще нет,6.0,Бюджет,42.0,Серые,7.8,0,"Нет, я из регионов",Да
4,3,Информатика,Ж,20.0,Нет,Программирование,MacOS,Да,Да,Да,Не работаю,ChatGPT,172.0,Да,Экстраверт,"Редко, легкая физкультура",0.0,Платная,39.0,Карие,8.0,0,"Нет, я из регионов",Да
4,3,Информатика,М,20.0,Нет,Математика,Windows,Нет,Да,Да,Не работаю,DeepSeek,173.0,Нет,Интроверт,Вообще нет,10.0,Бюджет,42.0,Серые,8.0,0,Да,Да
4,3,Информатика,М,20.0,Нет,Программирование,MacOS,Да,Да,Нет,Меньше года,ChatGPT,174.0,Нет,Интроверт,Вообще нет,0.5,Бюджет,41.0,Зеленые,9.4,0,Да,Да
4,3,Информатика,М,20.0,Нет,Программирование,Windows,Нет,Нет,Да,Не работаю,Grok,196.0,Нет,Интроверт,"Да, я спортсмен",0.0,Бюджет,46.0,Серые,8.7,0,"Нет, я из Минска",Нет
4,3,Информатика,Ж,21.0,Нет,Программирование,Windows,Да,Да,Да,более 2 лет,ChatGPT,175.0,Нет,Интроверт,"Редко, легкая физкультура",5.0,Бюджет,39.0,Голубые,9.0,0,"Нет, я из регионов",Да
4,3,Информатика,М,20.0,Нет,Математика,Linux,Нет,Да,Нет,Меньше года,gpt oss 120b,179.0,Да,Экстраверт,"Да, я спортсмен",3.0,Платная,42.0,Карие,9.42,0,"Нет, я из Минска",Да
4,3,Информатика,Ж,21.0,Нет,Математика,Windows,Да,Да,Да,Не работаю,ChatGPT,170.0,Да,Экстраверт,Вообще нет,5.0,Бюджет,39.0,Голубые,8.0,0,"Нет, я из регионов",Да
4,3,Информатика,М,20.0,Нет,Программирование,MacOS,Да,Да,Да,Не работаю,ChatGPT,190.0,Нет,Интроверт,"Редко, легкая физкультура",0.0,Платная,43.0,Карие,8.0,0,"Нет, я из Минска",Нет
4,1,Информатика,М,30.0,Нет,Математика,MacOS,Да,Да,Нет,более 2 лет,Gemini,100.00000001,Да,Социофоб,"Да, я спортсмен",39.5,Платная,34.12512,Голубые,0.0,2+,"Нет, я из Минска",Да
4,3,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Да,1-2 года,ChatGPT,192.0,Да,Социофоб,Вообще нет,7.0,Бюджет,46.0,Карие,7.0,0,"Нет, я из регионов",Нет
4,3,Информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Да,Меньше года,ChatGPT,190.0,Нет,Экстраверт,"Редко, легкая физкультура",1.0,Бюджет,43.0,Серые,8.0,0,"Нет, я из Минска",Да
4,3,Информатика,Ж,21.0,Нет,Математика,Windows,Да,Нет,Да,Меньше года,ChatGPT,153.0,Нет,Экстраверт,"Редко, легкая физкультура",3.0,Бюджет,35.0,Голубые,9.14,0,"Нет, я из регионов",Да
4,3,Информатика,Ж,20.0,Нет,Программирование,Windows,Да,Да,Да,Меньше года,Gemini,165.0,Да,Интроверт,"Редко, легкая физкультура",7.0,Бюджет,38.0,Голубые,8.3,0,Да,Да
4,3,Информатика,М,21.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,DeepSeek,186.0,Да,Интроверт,"Редко, легкая физкультура",0.0,Бюджет,44.0,Голубые,9.1,0,"Нет, я из Минска",Да
4,3,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Нет,Меньше года,ChatGPT,179.0,Да,Интроверт,"Редко, легкая физкультура",8.0,Бюджет,43.0,Голубые,8.3,0,Да,Да
4,3,Информатика,М,21.0,Нет,Математика,Linux,Да,Да,Нет,Не работаю,DeepSeek,185.0,Нет,Экстраверт,Вообще нет,6.0,Бюджет,46.0,Голубые,6.0,2+,"Нет, я из Минска",Нет
4,3,Информатика,М,21.0,Да,Программирование,Windows,Да,Да,Нет,Меньше года,DeepSeek,187.0,Да,Интроверт,"Редко, легкая физкультура",10.0,Бюджет,44.0,Голубые,7.42,0,Да,Да
4,3,Информатика,М,20.0,Нет,Программирование,Windows,Да,Нет,Нет,1-2 года,Cursor,187.0,Да,Интроверт,"Редко, легкая физкультура",3.0,Бюджет,45.0,Голубые,7.8,0,"Нет, я из регионов",Нет
4,3,Информатика,М,20.0,Нет,Программирование,Linux,Да,Нет,Нет,1-2 года,DeepSeek,190.0,Да,Интроверт,"Да, я спортсмен",7.0,Бюджет,44.0,Серые,8.9,0,Да,Нет
4,3,Информатика,М,20.0,Нет,Программирование,Linux,Да,Нет,Нет,1-2 года,Gemini,185.0,Да,Интроверт,"Редко, легкая физкультура",13.0,Бюджет,45.0,Зеленые,7.4,0,Да,Нет
4,3,Информатика,М,20.0,Нет,Программирование,MacOS,Да,Нет,Да,Меньше года,ChatGPT,183.0,Нет,Экстраверт,"Редко, легкая физкультура",3.0,Бюджет,43.0,Карие,8.4,0,Да,Нет
4,12,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Да,Не работаю,DeepSeek,187.0,Да,Интроверт,"Да, я спортсмен",5.0,Бюджет,45.0,Серые,6.8,0,Да,Да
4,12,Прикладная информатика,М,20.0,Нет,Программирование,MacOS,Да,Да,Да,Меньше года,DeepSeek,193.0,Да,Интроверт,"Редко, легкая физкультура",15.0,Платная,45.0,Зеленые,7.6,0,Да,Нет
4,1,Информатика,Ж,20.0,Нет,Математика,Windows,Да,Да,Да,Не работаю,DeepSeek,169.0,Нет,Интроверт,"Редко, легкая физкультура",2.0,Бюджет,38.0,Карие,8.5,0,Да,Да
4,1,Информатика,М,20.0,Нет,Программирование,MacOS,Нет,Нет,Да,1-2 года,Claude,197.0,Да,Экстраверт,"Да, я спортсмен",20.0,Платная,45.0,Карие,6.0,0,"Нет, я из Минска",Да
4,1,Информатика,Ж,20.0,Нет,Математика,Windows,Да,Да,Да,Не работаю,Qwen,160.0,Да,Экстраверт,"Редко, легкая физкультура",2.0,Бюджет,38.0,Голубые,9.6,0,Да,Да
4,1,Информатика,М,20.0,Да,Программирование,Windows,Да,Да,Да,Не работаю,Grok,170.0,Нет,Экстраверт,"Редко, легкая физкультура",5.0,Платная,41.0,Зеленые,5.4,2+,"Нет, я из Минска",Нет
4,1,Информатика,М,20.0,Нет,Программирование,Linux,Нет,Да,Да,Не работаю,Claude,190.0,Нет,Интроверт,"Редко, легкая физкультура",10.0,Платная,44.0,Карие,6.5,0,Да,Да
4,1,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Да,Меньше года,ChatGPT,178.0,Нет,Экстраверт,"Да, я спортсмен",8.0,Бюджет,43.0,Голубые,8.2,0,"Нет, я из Минска",Да
